model_name,model_type,training_data,imagenet_accuracy,perspective_accuracy,depth_accuracy,perspective_accuracy_human,depth_accuracy_human
vit_base_patch8_224.augreg2_in21k_ft_in1k,Transformer,ImageNet 21k,86.218,52.07900208,71.19437939,54.25531915,70.21276596
vit_srelpos_medium_patch16_224.sw_in1k,Transformer,ImageNet 1k,82.24,50.57172557,71.19437939,55.31914894,63.82978723
vit_srelpos_small_patch16_224.sw_in1k,Transformer,ImageNet 1k,81.092,51.37733888,65.80796253,57.44680851,60.63829787
vit_tiny_r_s16_p8_224.augreg_in21k_ft_in1k,Transformer,ImageNet 21k,71.798,51.06548857,67.36924278,56.38297872,63.82978723
vit_large_patch16_384.augreg_in21k_ft_in1k,Transformer,ImageNet 21k,87.084,51.74116424,78.68852459,53.19148936,75.53191489
vit_large_r50_s32_384.augreg_in21k_ft_in1k,Transformer,ImageNet 21k,86.182,52.98856549,76.81498829,59.57446809,69.14893617
vit_medium_patch16_gap_384.sw_in12k_ft_in1k,Transformer,ImageNet 12k,85.53,50.67567568,67.36924278,58.5106383,64.89361702
vit_relpos_base_patch16_224.sw_in1k,Transformer,ImageNet 1k,82.496,51.45530146,71.42857143,52.12765957,57.44680851
vit_relpos_base_patch16_clsgap_224.sw_in1k,Transformer,ImageNet 1k,82.76,50.7016632,71.46760343,55.31914894,61.70212766
vit_relpos_medium_patch16_224.sw_in1k,Transformer,ImageNet 1k,82.462,51.76715177,67.33021077,52.12765957,61.70212766
vit_relpos_medium_patch16_cls_224.sw_in1k,Transformer,ImageNet 1k,82.572,51.53326403,66.74473068,55.31914894,62.76595745
vit_relpos_medium_patch16_rpn_224.sw_in1k,Transformer,ImageNet 1k,82.31,51.76715177,69.59406714,59.57446809,60.63829787
vit_relpos_small_patch16_224.sw_in1k,Transformer,ImageNet 1k,81.462,52.62474012,69.67213115,48.93617021,56.38297872
volo_d1_384.sail_in1k,Transformer,ImageNet 1k,85.244,52.23492723,66.54957065,52.12765957,58.5106383
volo_d2_384.sail_in1k,Transformer,ImageNet 1k,86.042,51.97505198,67.21311475,55.31914894,63.82978723
volo_d3_224.sail_in1k,Transformer,ImageNet 1k,85.414,52.0010395,64.44184231,63.82978723,53.19148936
volo_d4_224.sail_in1k,Transformer,ImageNet 1k,85.872,52.57276507,67.21311475,59.57446809,59.57446809
volo_d5_224.sail_in1k,Transformer,ImageNet 1k,86.07,53.3004158,67.5253708,59.57446809,58.5106383
volo_d1_224.sail_in1k,Transformer,ImageNet 1k,84.162,51.2993763,67.40827479,43.61702128,57.44680851
volo_d2_224.sail_in1k,Transformer,ImageNet 1k,85.202,51.14345114,65.41764247,53.19148936,60.63829787
xcit_medium_24_p8_224.fb_in1k,Transformer,ImageNet 1k,83.746,52.07900208,70.14051522,46.80851064,63.82978723
xcit_nano_12_p8_224.fb_in1k,Transformer,ImageNet 1k,73.91,49.8960499,58.58704137,46.80851064,44.68085106
xcit_small_12_p8_224.fb_in1k,Transformer,ImageNet 1k,83.334,52.67671518,67.44730679,57.44680851,64.89361702
xcit_small_24_p8_224.fb_in1k,Transformer,ImageNet 1k,83.834,51.45530146,65.30054645,52.12765957,59.57446809
xcit_tiny_12_p8_224.fb_in1k,Transformer,ImageNet 1k,79.688,50.77962578,63.93442623,53.19148936,65.95744681
xcit_tiny_24_p8_224.fb_in1k,Transformer,ImageNet 1k,81.892,50.72765073,60.46057767,58.5106383,54.25531915
convnext_base.fb_in22k_ft_in1k,CNN,ImageNet 21k,86.274,50.7016632,69.78922717,53.19148936,67.0212766
convnext_base.fb_in22k_ft_in1k_384,CNN,ImageNet 21k,86.796,51.50727651,69.43793911,51.06382979,69.14893617
convnext_large.fb_in22k_ft_in1k,CNN,ImageNet 21k,87.026,52.83264033,72.71662763,53.19148936,62.76595745
convnext_large.fb_in22k_ft_in1k_384,CNN,ImageNet 21k,87.472,52.1049896,69.28181109,57.44680851,65.95744681
convnext_small.in12k_ft_in1k_384,CNN,ImageNet 21k,86.182,50.51975052,69.3989071,55.31914894,63.82978723
convnextv2_base.fcmae_ft_in22k_in1k,CNN,ImageNet 21k,86.998,50.62370062,73.57533177,50,70.21276596
convnextv2_base.fcmae_ft_in22k_in1k_384,CNN,ImageNet 21k,87.644,51.09147609,75.95628415,50,67.0212766
convnextv2_large.fcmae_ft_in1k,CNN,ImageNet 1k,86.118,51.22141372,70.0234192,50,57.44680851
convnextv2_large.fcmae_ft_in22k_in1k,CNN,ImageNet 21k,87.484,51.06548857,74.31693989,52.12765957,68.08510638
convnextv2_large.fcmae_ft_in22k_in1k_384,CNN,ImageNet 21k,88.198,50.54573805,76.50273224,52.12765957,64.89361702
crossvit_9_240.in1k,Transformer,ImageNet 1k,73.96,50.33783784,65.41764247,56.38297872,53.19148936
crossvit_tiny_240.in1k,Transformer,ImageNet 1k,73.34,50.28586279,58.7431694,51.06382979,44.68085106
tf_mobilenetv3_large_075.in1k,CNN,ImageNet 1k,73.43,50.75363825,65.92505855,56.38297872,69.14893617
tf_mobilenetv3_large_minimal_100.in1k,CNN,ImageNet 1k,72.264,50.44178794,64.51990632,45.74468085,67.0212766
tf_mobilenetv3_small_075.in1k,CNN,ImageNet 1k,65.726,51.55925156,63.07572209,52.12765957,71.27659574
tf_mobilenetv3_small_100.in1k,CNN,ImageNet 1k,67.922,51.61122661,63.1147541,51.06382979,70.21276596
mobilevit_xs.cvnets_in1k,Transformer,ImageNet 1k,74.634,49.06444906,60.69476971,48.93617021,59.57446809
mobilevit_xxs.cvnets_in1k,Transformer,ImageNet 1k,68.918,50.25987526,64.05152225,55.31914894,58.5106383
mobilevitv2_050.cvnets_in1k,Transformer,ImageNet 1k,70.148,49.8960499,62.17798595,46.80851064,64.89361702
legacy_seresnet18.in1k,CNN,ImageNet 1k,71.76,50.98752599,63.27088212,52.12765957,65.95744681
legacy_seresnet34.in1k,CNN,ImageNet 1k,74.802,49.53222453,66.00312256,47.87234043,62.76595745
seresnextaa101d_32x8d.sw_in12k_ft_in1k,CNN,ImageNet 12k,86.484,52.46881497,71.8969555,54.25531915,60.63829787
seresnextaa101d_32x8d.sw_in12k_ft_in1k_288,CNN,ImageNet 12k,86.724,50.83160083,69.08665105,51.06382979,58.5106383
semnasnet_075.rmsp_in1k,CNN,ImageNet 1k,73.004,50.67567568,63.1537861,54.25531915,63.82978723
mnasnet_100.rmsp_in1k,CNN,ImageNet 1k,74.652,50.41580042,64.9882904,47.87234043,72.34042553
mnasnet_small.lamb_in1k,CNN,ImageNet 1k,66.196,50.64968815,59.91412959,53.19148936,67.0212766
swinv2_base_window12to16_192to256.ms_in22k_ft_in1k,Transformer,ImageNet 21k,86.268,51.68918919,73.1459797,52.12765957,64.89361702
swinv2_base_window12to24_192to384.ms_in22k_ft_in1k,Transformer,ImageNet 21k,87.096,50.93555094,74.19984387,54.25531915,69.14893617
swinv2_large_window12to16_192to256.ms_in22k_ft_in1k,Transformer,ImageNet 21k,86.952,49.84407484,77.43950039,57.44680851,70.21276596
swinv2_large_window12to24_192to384.ms_in22k_ft_in1k,Transformer,ImageNet 21k,87.464,52.1049896,79.46916472,53.19148936,70.21276596
swinv2_cr_small_224.sw_in1k,Transformer,ImageNet 1k,83.136,49.84407484,64.01249024,54.25531915,53.19148936
swinv2_cr_small_ns_224.sw_in1k,Transformer,ImageNet 1k,83.498,50.46777547,64.09055425,52.12765957,50
swinv2_cr_tiny_ns_224.sw_in1k,Transformer,ImageNet 1k,81.802,48.98648649,67.13505074,52.12765957,48.93617021
eva_large_patch14_196.in22k_ft_in1k,Transformer,ImageNet 21k,87.932,54.02806653,71.2334114,54.25531915,61.70212766
eva_large_patch14_196.in22k_ft_in22k_in1k,Transformer,ImageNet 21k,88.574,52.98856549,73.41920375,46.80851064,69.14893617
eva_large_patch14_336.in22k_ft_in1k,Transformer,ImageNet 21k,88.67,52.67671518,72.09211553,58.5106383,69.14893617
eva_large_patch14_336.in22k_ft_in22k_in1k,Transformer,ImageNet 21k,89.206,52.36486486,75.91725215,59.57446809,78.72340426
eva02_base_patch14_448.mim_in22k_ft_in1k,Transformer,ImageNet 21k,88.252,50.05197505,64.28571429,53.19148936,60.63829787
eva02_base_patch14_448.mim_in22k_ft_in22k_in1k,Transformer,ImageNet 21k,88.69,50.67567568,69.08665105,48.93617021,71.27659574
eva02_large_patch14_448.mim_in22k_ft_in1k,Transformer,ImageNet 21k,89.622,50.80561331,65.6128025,54.25531915,69.14893617
eva02_large_patch14_448.mim_in22k_ft_in22k_in1k,Transformer,ImageNet 21k,89.97,52.28690229,70.72599532,62.76595745,70.21276596
eva02_large_patch14_448.mim_m38m_ft_in1k,Transformer,Merged-38M,89.574,53.43035343,69.94535519,48.93617021,65.95744681
tinynet_b.in1k,CNN,ImageNet 1k,74.978,50.5977131,67.13505074,55.31914894,62.76595745
tinynet_c.in1k,CNN,ImageNet 1k,71.242,51.2993763,64.59797034,48.93617021,58.5106383
edgenext_xx_small.in1k,Hybrid,ImageNet 1k,71.878,49.42827443,63.70023419,50,59.57446809
ghostnet_100.in1k,CNN,ImageNet 1k,73.958,52.02702703,64.9882904,57.44680851,67.0212766
spnasnet_100.rmsp_in1k,CNN,ImageNet 1k,74.094,50.25987526,68.42310695,51.06382979,69.14893617
vit_large_patch14_clip_224.openai_ft_in12k_in1k,Transformer,ImageNet 12k,88.174,51.03950104,68.26697892,51.06382979,69.14893617
vit_large_patch14_clip_224.laion2b_ft_in12k_in1k,Transformer,ImageNet 12k,87.894,50.12993763,69.55503513,48.93617021,65.95744681
vit_large_patch14_clip_224.openai_ft_in1k,Transformer,ImageNet 1k,87.854,51.58523909,64.51990632,46.80851064,59.57446809
vit_large_patch14_clip_224.laion2b_ft_in1k,Transformer,ImageNet 1k,87.286,51.76715177,65.53473849,58.5106383,64.89361702
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,Transformer,ImageNet 12k,86.17,51.03950104,67.4863388,54.25531915,67.0212766
vit_base_patch16_clip_224.openai_ft_in12k_in1k,Transformer,ImageNet 12k,85.942,50.98752599,66.08118657,50,59.57446809
vit_base_patch16_clip_224.laion2b_ft_in1k,Transformer,ImageNet 1k,85.47,50.07796258,67.83762685,59.57446809,63.82978723
vit_base_patch16_clip_224.openai_ft_in1k,Transformer,ImageNet 1k,85.292,50.64968815,67.5253708,58.5106383,63.82978723
vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,Transformer,ImageNet 12k,83.296,51.81912682,69.75019516,54.25531915,63.82978723
vit_base_patch32_clip_224.laion2b_ft_in1k,Transformer,ImageNet 1k,82.582,51.68918919,64.9882904,51.06382979,55.31914894
vit_base_patch32_clip_224.openai_ft_in1k,Transformer,ImageNet 1k,81.93,52.33887734,68.30601093,54.25531915,62.76595745
GPT-4-Vision,LLM,Internet,-1,-1,-1,51.818,59.45
Claude-3-Opus,LLM,Internet,-1,-1,-1,50,60.81
Gemini-Pro-Vision,LLM,Internet,-1,-1,-1,51.818,54.05
depth_anything_vit_large,Transformer,Internet,-1,51.50727651,65.45667447,53.63636364,68.91891892
midas,Transformer,Internet,-1,50.38981289,62.45120999,50,66.21621622
dinov2_vit_large,Transformer,Internet,-1,54.05405405,64.4028103,59.09090909,66.21621622
sam,Transformer,Internet,-1,51.61122661,65.53473849,49.09090909,66.21621622
mae_vit_base,Transformer,ImageNet 1k,83.6,50.62370062,71.15534738,53.63636364,66.21621622
ibot_vit_base,Transformer,ImageNet 21k,-1,51.01351351,67.05698673,54.54545455,71.62162162
stable diffusion 2.0,Diffusion,LAION-5B,-1,50.18,56.04,50.54,61.29
OLD_CVM_with_TPU_to_GPU_weight_issue,Transformer,CO3D,-1,53.32493,67.23821432,,
