model_name,model_type,training_data,imagenet_accuracy,perspective_accuracy,depth_accuracy,perspective_accuracy_human,depth_accuracy_human
davit_tiny.msft_in1k,Transformer,ImageNet 1k,82.696,48.85654886,69.59406714,50,64.89361702
deit_base_distilled_patch16_224.fb_in1k,Transformer,ImageNet 1k,83.39,51.92307692,71.07728337,61.70212766,70.21276596
deit_base_patch16_224.fb_in1k,Transformer,ImageNet 1k,81.992,50.12993763,68.30601093,57.44680851,64.89361702
deit_small_distilled_patch16_224.fb_in1k,Transformer,ImageNet 1k,81.216,51.45530146,68.38407494,60.63829787,67.0212766
deit_small_patch16_224.fb_in1k,Transformer,ImageNet 1k,79.848,51.48128898,65.69086651,52.12765957,62.76595745
deit_tiny_distilled_patch16_224.fb_in1k,Transformer,ImageNet 1k,74.504,51.48128898,65.88602654,53.19148936,67.0212766
deit_tiny_patch16_224.fb_in1k,Transformer,ImageNet 1k,72.17,50.98752599,67.05698673,47.87234043,58.5106383
deit3_base_patch16_224.fb_in1k,Transformer,ImageNet 1k,83.786,50.44178794,68.34504294,53.19148936,56.38297872
deit3_base_patch16_224.fb_in22k_ft_in1k,Transformer,ImageNet 21k,85.7,52.41683992,69.71116315,59.57446809,57.44680851
deit3_medium_patch16_224.fb_in1k,Transformer,ImageNet 1k,83.086,51.42931393,71.62373146,58.5106383,63.82978723
deit3_medium_patch16_224.fb_in22k_ft_in1k,Transformer,ImageNet 21k,84.55,51.03950104,69.3598751,51.06382979,57.44680851
deit3_small_patch16_224.fb_in1k,Transformer,ImageNet 1k,81.37,51.06548857,61.74863388,53.19148936,59.57446809
deit3_small_patch16_224.fb_in22k_ft_in1k,Transformer,ImageNet 21k,83.076,51.55925156,62.17798595,56.38297872,52.12765957
densenet121.tv_in1k,CNN,ImageNet 1k,74.764,51.79313929,64.28571429,47.87234043,64.89361702
densenet161.tv_in1k,CNN,ImageNet 1k,77.358,51.45530146,65.06635441,55.31914894,60.63829787
densenet169.tv_in1k,CNN,ImageNet 1k,75.9,51.48128898,62.529274,54.25531915,59.57446809
densenet201.tv_in1k,CNN,ImageNet 1k,77.286,51.27338877,68.89149102,54.25531915,69.14893617
dla102.in1k,CNN,ImageNet 1k,78.024,50.90956341,65.30054645,57.44680851,64.89361702
dla169.in1k,CNN,ImageNet 1k,78.708,50.31185031,67.40827479,47.87234043,48.93617021
dla34.in1k,CNN,ImageNet 1k,74.64,50.57172557,63.7782982,52.12765957,65.95744681
dla46_c.in1k,CNN,ImageNet 1k,64.872,50.7016632,60.22638564,46.80851064,63.82978723
dla60.in1k,CNN,ImageNet 1k,77.046,51.50727651,67.09601874,50,59.57446809
dpn107.mx_in1k,CNN,ImageNet 1k,80.17,51.37733888,63.38797814,58.5106383,56.38297872
dpn131.mx_in1k,CNN,ImageNet 1k,79.814,51.50727651,60.92896175,51.06382979,57.44680851
dpn68.mx_in1k,CNN,ImageNet 1k,76.346,51.61122661,58.97736144,54.25531915,59.57446809
dpn68b.mx_in1k,CNN,ImageNet 1k,77.518,49.87006237,66.00312256,54.25531915,59.57446809
dpn92.mx_in1k,CNN,ImageNet 1k,80.038,50.51975052,61.74863388,56.38297872,57.44680851
dpn98.mx_in1k,CNN,ImageNet 1k,79.67,50.12993763,63.30991413,53.19148936,62.76595745
efficientformer_l1.snap_dist_in1k,Transformer,ImageNet 1k,80.498,49.63617464,69.04761905,56.38297872,65.95744681
efficientformer_l3.snap_dist_in1k,Transformer,ImageNet 1k,82.548,50.31185031,68.96955504,47.87234043,59.57446809
efficientformer_l7.snap_dist_in1k,Transformer,ImageNet 1k,83.382,50.57172557,65.96409055,56.38297872,63.82978723
efficientformerv2_l.snap_dist_in1k,Transformer,ImageNet 1k,83.632,50.41580042,68.735363,51.06382979,59.57446809
efficientformerv2_s0.snap_dist_in1k,Transformer,ImageNet 1k,76.114,51.79313929,65.57377049,52.12765957,55.31914894
efficientformerv2_s1.snap_dist_in1k,Transformer,ImageNet 1k,79.692,49.68814969,65.84699454,52.12765957,58.5106383
efficientformerv2_s2.snap_dist_in1k,Transformer,ImageNet 1k,82.166,51.68918919,65.26151444,56.38297872,50
efficientnet_b0.ra_in1k,CNN,ImageNet 1k,77.694,50.33783784,69.20374707,48.93617021,64.89361702
efficientnet_es_pruned.in1k,CNN,ImageNet 1k,75.006,51.50727651,65.18345043,50,61.70212766
efficientnet_es.ra_in1k,CNN,ImageNet 1k,78.058,50.62370062,65.45667447,57.44680851,58.5106383
efficientnet_lite0.ra_in1k,CNN,ImageNet 1k,75.482,51.76715177,64.79313037,50,69.14893617
focalnet_base_srf.ms_in1k,Transformer,ImageNet 1k,83.82,51.50727651,68.61826698,60.63829787,55.31914894
focalnet_small_srf.ms_in1k,Transformer,ImageNet 1k,83.416,51.58523909,67.05698673,57.44680851,53.19148936
focalnet_tiny_srf.ms_in1k,Transformer,ImageNet 1k,82.138,50.67567568,65.84699454,56.38297872,55.31914894
focalnet_base_lrf.ms_in1k,Transformer,ImageNet 1k,83.838,50.67567568,68.774395,48.93617021,58.5106383
focalnet_small_lrf.ms_in1k,Transformer,ImageNet 1k,83.494,50.80561331,66.39344262,59.57446809,57.44680851
